ProvCode,ProvDescr,X,Y
ALSK,Coastal - Alaska Downwelling Coastal Province,-145.5352486,55.82993032
ANTA,Polar - Antarctic Province,-1.964783224,-61.14979333
APLR,Polar - Austral Polar Province,-25.42359372,-69.82523391
ARAB,Coastal - NW Arabian Upwelling Province,55.95516368,12.15848544
ARCH,Trades - Archipelagic Deep Basins Province,144.2453028,-9.571682693
ARCT,Polar - Atlantic Arctic Province,-19.82223068,66.43149665
AUSE,Coastal - East Australian Coastal Province,151.8283364,-25.93485902
AUSW,Coastal - Australia-Indonesia Coastal Province,116.7161528,-22.32058132
BENG,Coastal - Benguela Current Coastal Province,12.14253886,-25.72482344
BERS,Polar - N. Pacific Epicontinental Province,48.25639925,55.27142157
BPLR,Polar - Boreal Polar Province (POLR),-5.268697072,79.87854937
BRAZ,Coastal - Brazil Current Coastal Province,-46.15822153,-26.98066516
CAMR,Coastal - Central American Coastal Province,-94.7362072,14.36510181
CARB,Trades - Caribbean Province,-80.23343796,19.57813334
CCAL,Coastal - California Upwelling Coastal Province,-122.55067,34.18750297
CHIL,Coastal - Chile-Peru Current Coastal Province,-77.09769032,-28.85377798
CHIN,Coastal - China Sea Coastal Province,121.113282,30.4251796
CNRY,Coastal - Canary Coastal Province (EACB),-13.91376546,26.62430566
EAFR,Coastal - E. Africa Coastal Province,36.83580079,-25.73853721
ETRA,Trades - Eastern Tropical Atlantic Province,-5.661581722,-2.873967806
FKLD,Coastal - SW Atlantic Shelves Province,-60.64314353,-48.94211686
GFST,Westerlies - Gulf Stream Province,-57.87931034,40.0862069
GUIA,Coastal - Guianas Coastal Province,-55.2564719,4.070737485
GUIN,Coastal - Guinea Current Coastal Province,3.166115889,-1.251622415
INDE,Coastal - E. India Coastal Province,88.01016061,16.4793771
INDW,Coastal - W. India Coastal Province,72.33465886,15.41517133
ISSG,Trades - Indian S. Subtropical Gyre Province,76.83648281,-24.71750646
KURO,Westerlies - Kuroshio Current Province,137.2134624,31.91704368
MEDI,"Westerlies - Mediterranean Sea, Black Sea Province",19.72275349,38.1321117
MONS,Trades - Indian Monsoon Gyres Province,77.4292981,-2.1411174
NADR,Westerlies - N. Atlantic Drift Province (WWDR),-25.60820046,49.66514806
NASE,Westerlies - N. Atlantic Subtropical Gyral Province (East) (STGE),-23.38645576,35.15631822
NASW,Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW),-52.85536969,32.1988877
NATR,Trades - N. Atlantic Tropical Gyral Province (TRPG),-44.17704137,18.70343134
NECS,Coastal - NE Atlantic Shelves Province,5.120857951,55.80671949
NEWZ,Coastal - New Zealand Coastal Province,74.56674636,-45.22991862
NPPF,Westerlies - N. Pacific Polar Front Province,-60.66137566,39.59259259
NPSW,Westerlies - N. Pacific Subtropical Gyre Province (West),125.5307785,22.80710423
NPTG,Trades - N. Pacific Tropical Gyre Province,-148.0183105,22.23387539
NWCS,Coastal - NW Atlantic Shelves Province,-61.61744681,42.94031427
PEQD,Trades - Pacific Equatorial Divergence Province,-127.1738291,-2.667321225
PNEC,Trades - N. Pacific Equatorial Countercurrent Province,-122.2534859,8.648625117
PSAE,Westerlies - Pacific Subarctic Gyres Province (East),-153.6295425,50.54784525
PSAW,Westerlies - Pacific Subarctic Gyres Province (West),122.0738845,47.38089746
REDS,"Coastal - Red Sea, Persian Gulf Province",43.27663105,22.83606796
SANT,Westerlies - Subantarctic Province,-3.405486942,-49.52334806
SARC,Polar - Atlantic Subarctic Province,11.28093704,67.30547319
SATL,Trades - South Atlantic Gyral Province (SATG),-18.07757872,-25.46627613
SPSG,Westerlies - S. Pacific Subtropical Gyre Province,-112.3780865,-23.91351312
SSTC,Westerlies - S. Subtropical Convergence Province,-3.808238969,-40.79841262
SUND,Coastal - Sunda-Arafura Shelves Province,122.6168165,-1.190930933
TASM,Westerlies - Tasman Sea Province,161.0570842,-37.75498241
WARM,Trades - W. Pacific Warm Pool Province,121.6596951,1.42600895
WTRA,Trades - Western Tropical Atlantic Province,-33.26525593,3.919250489
