l_proj_short;year_samp;c_sp_fao;l_sex_short;v_fl;v_wt
Fonteneau;2003;BET;;117.5;38.1
Fonteneau;2003;BET;;117.5;39.05
Fonteneau;2003;BET;;122.5;42.2
Fonteneau;2003;BET;;126;45.2
Fonteneau;2003;BET;;128;51.75
Fonteneau;2003;BET;;129;48.55
Fonteneau;2003;BET;;131.5;49.15
Fonteneau;2003;BET;;132;53.95
Fonteneau;2003;BET;;133;51
Fonteneau;2003;BET;;133.5;50.75
Fonteneau;2003;BET;;133.5;60.1
Fonteneau;2003;BET;;135;58.35
Fonteneau;2003;BET;;135;60.1
Fonteneau;2003;BET;;135.5;58.1
Fonteneau;2003;BET;;138;59.7
Fonteneau;2003;BET;;138;60.1
Fonteneau;2003;BET;;138;61.85
Fonteneau;2003;BET;;139;62.9
Fonteneau;2003;BET;;139;62.1
Fonteneau;2003;BET;;140;62
Fonteneau;2003;BET;;140.5;59.35
Fonteneau;2003;BET;;145.5;76.8
Fonteneau;2003;BET;;150;81.75
Fonteneau;2003;BET;;151.5;82.3
